[3.41049194e-01 7.89889216e-01 6.44836916e-07],[ 0.39416885  0.78097105 -0.03008432],[ 0.43899775  0.73047698 -0.04042187],[ 0.44809535  0.66191554 -0.04574469],[ 0.41400275  0.62941658 -0.05184675],[ 0.41019717  0.62568486 -0.03170009],[ 0.43041816  0.5528087  -0.04611693],[ 0.44147906  0.50149804 -0.0587183 ],[ 0.44845638  0.45457089 -0.06862559],[ 0.37400144  0.60653007 -0.02928102],[ 0.38656002  0.52543545 -0.04138479],[ 0.39479345  0.46705207 -0.05656857],[ 0.4007791   0.41910627 -0.0676835 ],[ 0.33698881  0.60957259 -0.02868089],[ 0.34200317  0.52818143 -0.04482005],[ 0.34938484  0.47051764 -0.06229056],[ 0.35510662  0.42406905 -0.07359768],[ 0.29596683  0.63346267 -0.02982316],[ 0.29025489  0.56511569 -0.04843291],[ 0.28778991  0.51845312 -0.05946224],[ 0.28533578  0.47736949 -0.06557303]
[3.29367548e-01 8.17720354e-01 4.07253367e-07],[ 0.38904476  0.80315149 -0.0215948 ],[ 0.43910444  0.73828775 -0.02639199],[ 0.44873947  0.66198862 -0.02927684],[ 0.41511011  0.63148868 -0.03274286],[ 0.41141844  0.6279639  -0.01004814],[ 0.43320692  0.55390561 -0.01844091],[ 0.44367787  0.50256056 -0.02787636],[ 0.45086458  0.46189198 -0.03631575],[ 0.37375188  0.60977226 -0.0103449 ],[ 0.38523778  0.52181846 -0.01626796],[ 0.3915852   0.46584457 -0.02602664],[ 0.39547136  0.4204582  -0.03412765],[ 0.33722186  0.610116   -0.01354874],[ 0.34252769  0.52229971 -0.02322677],[ 0.34877035  0.4684962  -0.03486285],[ 0.35301319  0.42613459 -0.04367208],[ 0.29728693  0.62871253 -0.01884421],[ 0.2911379   0.56126457 -0.03253002],[ 0.28882739  0.51656294 -0.04090494],[ 0.28721946  0.47661757 -0.04645455]
[3.26282203e-01 8.29046965e-01 3.46466493e-07],[ 0.38874927  0.8070575  -0.02125665],[ 0.4387247   0.7389915  -0.02570095],[ 0.44651362  0.66405171 -0.02875553],[ 0.41085258  0.6353032  -0.0322365 ],[ 0.41017991  0.62753695 -0.00737914],[ 0.43222743  0.55094981 -0.01683024],[ 0.44244266  0.50178826 -0.02739886],[ 0.44924104  0.46231294 -0.03618558],[ 0.37282804  0.61052018 -0.00841623],[ 0.38614854  0.51916695 -0.01566419],[ 0.39329034  0.46358377 -0.02610546],[ 0.39630979  0.42022291 -0.03432281],[ 0.33679396  0.61264884 -0.01269357],[ 0.34228298  0.52249008 -0.022774  ],[ 0.34920129  0.46745884 -0.03436831],[ 0.35346556  0.42458469 -0.04284609],[ 0.29799241  0.63203216 -0.01932505],[ 0.29220891  0.56248116 -0.03203414],[ 0.2904934   0.51540768 -0.03978394],[ 0.28919733  0.47378081 -0.04496294]
[3.22629780e-01 8.34297836e-01 3.08029996e-07],[ 0.38591307  0.81096733 -0.0219982 ],[ 0.43846503  0.74010682 -0.02673289],[ 0.44610918  0.66151696 -0.0300278 ],[ 0.4093653   0.63428116 -0.03367834],[ 0.40854543  0.62894905 -0.00793672],[ 0.43099043  0.55119681 -0.01781333],[ 0.44144508  0.50275266 -0.02858462],[ 0.44851738  0.46368915 -0.03760999],[ 0.37139913  0.61281931 -0.00906133],[ 0.38538814  0.52104867 -0.01693714],[ 0.3929823   0.46586543 -0.0275334 ],[ 0.39625493  0.42231363 -0.03603287],[ 0.33589396  0.61605251 -0.01362274],[ 0.34196734  0.52488673 -0.02442699],[ 0.34917021  0.46839321 -0.0361541 ],[ 0.35350859  0.42345393 -0.04494487],[ 0.29761356  0.63633591 -0.02069205],[ 0.29191193  0.56632435 -0.03411961],[ 0.28978208  0.51763541 -0.04238969],[ 0.28809822  0.47421217 -0.04820676]
[3.24088067e-01 8.31954420e-01 2.93435278e-07],[ 0.38687801  0.81379229 -0.02190304],[ 0.43862724  0.73980784 -0.02551298],[ 0.44704294  0.66149879 -0.02791025],[ 0.41031957  0.635557   -0.03060765],[ 0.40787077  0.62594253 -0.00640582],[ 0.43024364  0.55065298 -0.0161904 ],[ 0.44115198  0.50385803 -0.02682517],[ 0.44892365  0.4668932  -0.03581817],[ 0.37054259  0.61008304 -0.00742547],[ 0.3830618   0.519526   -0.01575618],[ 0.39068049  0.46455511 -0.02633057],[ 0.39423275  0.42119509 -0.03480458],[ 0.33508065  0.61406767 -0.01211103],[ 0.34082264  0.52336395 -0.02358549],[ 0.34848833  0.46741658 -0.03563496],[ 0.35381734  0.42220056 -0.04462394],[ 0.29760179  0.63492966 -0.01938323],[ 0.29194224  0.56612039 -0.03342786],[ 0.28997046  0.51738614 -0.04264125],[ 0.28860465  0.47262672 -0.0493056 ]
[3.24028611e-01 8.33631992e-01 2.92720102e-07],[ 0.38673306  0.81229305 -0.02160622],[ 0.43849215  0.73859477 -0.02541964],[ 0.44642234  0.66051424 -0.02798213],[ 0.40978944  0.63275093 -0.03082115],[ 0.40856329  0.62672389 -0.00683362],[ 0.43113169  0.54950941 -0.01684862],[ 0.441569    0.50149107 -0.02772797],[ 0.44880801  0.46279782 -0.03698924],[ 0.37136438  0.61158919 -0.00822933],[ 0.38451153  0.52025694 -0.01658924],[ 0.39238152  0.46572918 -0.02752679],[ 0.39608556  0.42330164 -0.03643089],[ 0.33572057  0.61608469 -0.01321048],[ 0.3414045   0.52455717 -0.02477052],[ 0.34852928  0.46837294 -0.0370964 ],[ 0.35326019  0.4234598  -0.04640227],[ 0.29726774  0.63719749 -0.02069034],[ 0.29171467  0.56736779 -0.035111  ],[ 0.28947812  0.51826626 -0.04451199],[ 0.28763622  0.47322387 -0.05130213]
[3.22008222e-01 8.33099484e-01 3.12938312e-07],[ 0.38521099  0.81293583 -0.02229501],[ 0.43744966  0.73788112 -0.02562349],[ 0.44526118  0.65829533 -0.0275353 ],[ 0.40795687  0.63367176 -0.0294494 ],[ 0.40706295  0.62617689 -0.0045604 ],[ 0.42957455  0.54847759 -0.01279152],[ 0.4402858   0.50004858 -0.02239584],[ 0.44756651  0.46220452 -0.03069822],[ 0.37030375  0.60955775 -0.0047374 ],[ 0.38392073  0.51864517 -0.01097439],[ 0.39128593  0.46362299 -0.02038353],[ 0.39464521  0.42062607 -0.02812157],[ 0.33534408  0.61162132 -0.00872279],[ 0.34202766  0.52117407 -0.01831888],[ 0.34967208  0.46577519 -0.02973706],[ 0.35459045  0.42218804 -0.0384912 ],[ 0.29774016  0.63014126 -0.01542196],[ 0.29121199  0.56171012 -0.02818299],[ 0.28838766  0.51409811 -0.0367904 ],[ 0.28635955  0.47121489 -0.04303508]
[3.21590513e-01 8.32434058e-01 2.88062125e-07],[ 0.38557675  0.8145023  -0.02230699],[ 0.43766403  0.73799634 -0.02466083],[ 0.44586235  0.65683228 -0.02550188],[ 0.40762508  0.63331485 -0.02638542],[ 0.40797156  0.62475944 -0.00440217],[ 0.43043074  0.54732364 -0.01222797],[ 0.44078445  0.50003833 -0.02169831],[ 0.44786793  0.46265256 -0.03004333],[ 0.3713071   0.60837299 -0.00436018],[ 0.3842206   0.51799166 -0.01039327],[ 0.3913464   0.46317106 -0.01968428],[ 0.39401051  0.42051804 -0.02736433],[ 0.33622959  0.61177599 -0.0080985 ],[ 0.34242404  0.52178979 -0.01786632],[ 0.34920749  0.46647453 -0.02894071],[ 0.3527945   0.42277724 -0.03728102],[ 0.29845577  0.63164645 -0.01455454],[ 0.29236937  0.56277686 -0.02771747],[ 0.2896862   0.51467371 -0.0362727 ],[ 0.28702483  0.47131133 -0.0423278 ]
[3.22901487e-01 8.34258378e-01 2.96170072e-07],[ 0.38616809  0.81189644 -0.02085172],[ 0.43715501  0.73626679 -0.02391224],[ 0.44634813  0.659657   -0.02592106],[ 0.41057831  0.63459378 -0.02807771],[ 0.40603191  0.6259504  -0.00512965],[ 0.42890671  0.54950625 -0.01477415],[ 0.44005084  0.50205112 -0.02555436],[ 0.44774014  0.46440735 -0.03459085],[ 0.36917073  0.6097647  -0.00657736],[ 0.38203245  0.51787865 -0.01462382],[ 0.3894532   0.46258861 -0.02533714],[ 0.39236331  0.41966495 -0.03392488],[ 0.33379909  0.61300373 -0.01157235],[ 0.33962321  0.52323997 -0.02242088],[ 0.34648502  0.4688651  -0.03431308],[ 0.35065514  0.42541671 -0.04325483],[ 0.29604065  0.63303828 -0.01907413],[ 0.29051459  0.56494886 -0.03198479],[ 0.28832173  0.51796472 -0.04036384],[ 0.28612697  0.47523016 -0.04652913]
[3.23113412e-01 8.32592726e-01 2.91941035e-07],[ 0.38671473  0.81196433 -0.02061725],[ 0.43725517  0.73475462 -0.02305653],[ 0.44666302  0.65823734 -0.02467292],[ 0.41092971  0.63427484 -0.02634364],[ 0.40691572  0.62307447 -0.00318397],[ 0.42808893  0.54631186 -0.01197161],[ 0.43868768  0.49895445 -0.02205963],[ 0.44611001  0.46150988 -0.03064975],[ 0.37001628  0.60758471 -0.00437232],[ 0.38192129  0.51767451 -0.01140409],[ 0.38945138  0.46317905 -0.0210042 ],[ 0.39293489  0.42025137 -0.02880514],[ 0.33464319  0.61130726 -0.0093697 ],[ 0.33999923  0.52155608 -0.01957567],[ 0.34701708  0.46691024 -0.0307385 ],[ 0.35169867  0.42303729 -0.03915932],[ 0.29731002  0.6315518  -0.01701292],[ 0.29057148  0.56350803 -0.02990005],[ 0.28739372  0.51586211 -0.03841091],[ 0.28496277  0.47208449 -0.04462695]
