[2.76372373e-01 8.63087177e-01 4.39033414e-07],[ 0.34133172  0.84668159 -0.03955186],[ 0.39628518  0.77211964 -0.04986503],[ 0.41999346  0.69441378 -0.05545884],[ 0.4307484   0.63194054 -0.05970083],[ 0.34599984  0.64408684 -0.0191168 ],[ 0.35561645  0.55119407 -0.03084432],[ 0.35751304  0.49203542 -0.04381539],[ 0.35279921  0.44477588 -0.05407443],[ 0.30365863  0.63590866 -0.01125814],[ 0.30207562  0.54205877 -0.02589234],[ 0.29090053  0.49364561 -0.04308463],[ 0.27153125  0.47626293 -0.05362297],[ 0.2634837   0.64537346 -0.00807724],[ 0.25649387  0.55765337 -0.02451443],[ 0.24314943  0.51612544 -0.04037889],[ 0.22408989  0.49839079 -0.04901539],[ 0.22196105  0.67088187 -0.00842368],[ 0.21081933  0.60057622 -0.02643381],[ 0.19864765  0.56301045 -0.03849746],[ 0.18475659  0.53789729 -0.04438144]
[2.74025738e-01 8.79248619e-01 3.55802484e-07],[ 0.34038466  0.85324538 -0.03565325],[ 0.39109525  0.77643144 -0.04455244],[ 0.41678372  0.69615608 -0.05069952],[ 0.42883101  0.63234949 -0.05537278],[ 0.34542781  0.64295346 -0.00766247],[ 0.35553753  0.54831481 -0.01947218],[ 0.35762936  0.49033642 -0.03472092],[ 0.3538323   0.44499129 -0.04681759],[ 0.30340332  0.63424164 -0.00201168],[ 0.3014456   0.53806555 -0.01727465],[ 0.29082948  0.49247628 -0.03822445],[ 0.27267462  0.47704703 -0.05205813],[ 0.26342058  0.64376676 -0.00132881],[ 0.25620633  0.55504864 -0.01760814],[ 0.24384682  0.51385927 -0.03611528],[ 0.22674467  0.49798173 -0.04722445],[ 0.22255211  0.66986078 -0.0041307 ],[ 0.20831403  0.59952945 -0.0215102 ],[ 0.19456507  0.56143832 -0.03462944],[ 0.18037535  0.53749913 -0.04199759]
[2.69618124e-01 8.84933829e-01 3.20912079e-07],[ 0.33676925  0.8551653  -0.03660425],[ 0.38900369  0.77602595 -0.04629162],[ 0.41466004  0.69453645 -0.0534828 ],[ 0.4277091   0.63083798 -0.05905828],[ 0.34367916  0.63816637 -0.00726822],[ 0.35392439  0.54530621 -0.02132155],[ 0.35615829  0.48772389 -0.03859783],[ 0.35277304  0.44342548 -0.0519014 ],[ 0.30059806  0.62992465 -0.0019708 ],[ 0.29953998  0.53348958 -0.02046429],[ 0.28827289  0.4889313  -0.04360097],[ 0.26958573  0.4761956  -0.0584548 ],[ 0.26053318  0.64045972 -0.00194974],[ 0.2536318   0.55225688 -0.02047672],[ 0.24136899  0.51218951 -0.04061568],[ 0.22527456  0.4999637  -0.05246993],[ 0.2201784   0.66769403 -0.00559937],[ 0.20700714  0.59847134 -0.02410153],[ 0.1949276   0.56142777 -0.03844502],[ 0.18311833  0.54011214 -0.04662701]
[2.68101871e-01 8.89629185e-01 3.04253916e-07],[ 0.33590075  0.85668743 -0.03580359],[ 0.39013448  0.77632165 -0.04457973],[ 0.41586331  0.69209468 -0.05097899],[ 0.42714673  0.62652147 -0.05565742],[ 0.3434692   0.6368615  -0.00306808],[ 0.35460183  0.5433619  -0.01574401],[ 0.35605955  0.48676336 -0.03264203],[ 0.3522957   0.44165033 -0.04587932],[0.3007029  0.62852943 0.00242687],[ 0.29959118  0.53310347 -0.01415444],[ 0.28858212  0.49045962 -0.03673445],[ 0.27042875  0.47613186 -0.05148419],[0.26086992 0.63869315 0.00253954],[ 0.25356066  0.55363417 -0.01374417],[ 0.24185957  0.51267284 -0.0327472 ],[ 0.22606471  0.49568459 -0.04439617],[ 0.22095935  0.66534364 -0.00117712],[ 0.2079618   0.59836847 -0.01733161],[ 0.19664255  0.56176054 -0.03023741],[ 0.18520886  0.53760028 -0.03773907]
[2.66781569e-01 8.88897121e-01 2.83568568e-07],[ 0.33618081  0.85758084 -0.03432012],[ 0.39149857  0.77698642 -0.04208488],[ 0.41659391  0.69197738 -0.04777279],[ 0.4300009   0.62829906 -0.05184785],[ 0.34285977  0.63663584 -0.00137661],[ 0.35417697  0.54260319 -0.01328064],[ 0.35606381  0.48616385 -0.02959917],[ 0.35321856  0.44218332 -0.04254821],[0.29945233 0.62815499 0.0038317 ],[ 0.29836234  0.53240508 -0.01208144],[ 0.28881112  0.48959726 -0.03459305],[ 0.27266115  0.47573525 -0.04973307],[0.25986558 0.63782406 0.00373273],[ 0.2514244   0.55215776 -0.01223085],[ 0.24047804  0.51109356 -0.03197601],[ 0.22592038  0.49518842 -0.04457425],[ 2.20918447e-01  6.64147794e-01 -5.09564888e-05],[ 0.20719622  0.59588492 -0.01641844],[ 0.19579031  0.55931473 -0.03027621],[ 0.18446968  0.53586018 -0.0388147 ]
[2.67685264e-01 8.86249006e-01 2.85786086e-07],[ 0.33651137  0.85292345 -0.03213174],[ 0.39055848  0.77465612 -0.0396096 ],[ 0.41724369  0.69289362 -0.04533548],[ 0.42924994  0.6287123  -0.04965065],[ 0.34321207  0.63556612 -0.00180818],[ 0.3546367   0.54102272 -0.01365763],[ 0.35672069  0.48453379 -0.02952259],[ 0.35436675  0.43904918 -0.04207794],[0.30029255 0.62766069 0.00235925],[ 0.29951045  0.53340805 -0.01142806],[ 0.29152539  0.48955834 -0.0314616 ],[ 0.277731    0.47076982 -0.04570138],[0.26058653 0.63762748 0.00129496],[ 0.25245056  0.55304492 -0.01292089],[ 0.24187744  0.51041615 -0.03017453],[ 0.2281871   0.48889717 -0.04186586],[ 0.22125372  0.66305196 -0.00341447],[ 0.20873412  0.59457946 -0.01830077],[ 0.19750279  0.55734205 -0.03023597],[ 0.18583821  0.53031123 -0.03788647]
[2.67150283e-01 8.89061451e-01 2.89255894e-07],[ 0.33633479  0.85577822 -0.03350415],[ 0.39050993  0.77608043 -0.04100949],[ 0.41570321  0.69214994 -0.04665959],[ 0.427257    0.62653333 -0.05053169],[ 3.43630373e-01  6.35336637e-01 -3.66777705e-04],[ 0.3560676   0.54194921 -0.01252724],[ 0.35851741  0.48545504 -0.02868587],[ 0.35599774  0.4408223  -0.04131917],[0.30114439 0.62580723 0.00439108],[ 0.30015853  0.53084576 -0.01034074],[ 0.29042202  0.48666319 -0.0309647 ],[ 0.27436733  0.47032964 -0.04480112],[0.26184973 0.63539016 0.00366555],[ 0.25331578  0.55116808 -0.01145873],[ 0.24238294  0.50955462 -0.02891488],[ 0.22803889  0.49112779 -0.03993546],[ 0.22267592  0.66197133 -0.00084985],[ 0.2097829   0.59570009 -0.01646093],[ 0.19835445  0.55882931 -0.02879785],[ 0.18667188  0.53349769 -0.03610438]
[2.68486589e-01 8.87178004e-01 2.99566295e-07],[ 0.33685285  0.85346627 -0.03455019],[ 0.39043155  0.77578241 -0.043109  ],[ 0.41619298  0.69184381 -0.04977288],[ 0.42858237  0.6251713  -0.0547156 ],[ 0.3445226   0.63581079 -0.00135047],[ 0.35724273  0.54111147 -0.01372776],[ 0.35976356  0.48490185 -0.03041073],[ 0.35709488  0.43980309 -0.04347636],[0.30198687 0.62688935 0.00363784],[ 0.30190563  0.53195512 -0.0116369 ],[ 0.29246861  0.48704162 -0.0334629 ],[ 0.27588996  0.46976727 -0.04846422],[0.26254052 0.63660765 0.00313354],[ 0.25500983  0.55186707 -0.01238831],[ 0.24411573  0.51016676 -0.03109653],[ 0.22912239  0.49224454 -0.04307944],[ 0.22352821  0.66214454 -0.00116884],[ 0.21124832  0.59357679 -0.01714578],[ 0.20028105  0.55553424 -0.03019862],[ 0.18847591  0.53039324 -0.03814876]
[2.69433707e-01 8.86373222e-01 2.98305537e-07],[ 0.3371799   0.85397351 -0.03492557],[ 0.39127827  0.77634603 -0.04325587],[ 0.41692275  0.6934647  -0.04930026],[ 0.4290854   0.62681741 -0.0537271 ],[ 0.34478274  0.63461083 -0.00255622],[ 0.35748917  0.54115623 -0.01498575],[ 0.35994011  0.48512644 -0.0315029 ],[ 0.35771206  0.43999141 -0.0445136 ],[0.30164891 0.62604833 0.00281537],[ 0.30059534  0.5314979  -0.01169021],[ 0.29154569  0.48622131 -0.03280958],[ 0.27636561  0.46612179 -0.04780519],[0.26201046 0.63670599 0.00262136],[ 0.25362459  0.55209291 -0.01271627],[ 0.24256626  0.50950038 -0.03143562],[ 0.22794551  0.4878301  -0.0439942 ],[ 0.22322538  0.66350436 -0.00137572],[ 0.21049565  0.5953517  -0.01733498],[ 0.19879094  0.55862987 -0.03038962],[ 0.18654934  0.53217536 -0.03878033]
[2.70050287e-01 8.88909698e-01 2.71644069e-07],[ 0.3383874   0.85617608 -0.03160102],[ 0.39121708  0.77350277 -0.03761359],[ 0.41733071  0.68977743 -0.04202378],[ 0.42978084  0.62624121 -0.04480156],[0.34508267 0.63599414 0.00172374],[ 0.35637259  0.54438317 -0.00899126],[ 0.35910752  0.48871332 -0.02437675],[ 0.35702035  0.44361717 -0.03679955],[0.30335885 0.62615979 0.00575472],[ 0.30195025  0.53303826 -0.00719117],[ 0.29274702  0.48873651 -0.02676776],[ 0.27719009  0.47067398 -0.04045324],[0.26435205 0.63520795 0.00436844],[ 0.25558704  0.55183923 -0.00930816],[ 0.24479455  0.50973928 -0.02605221],[ 0.23038216  0.48951972 -0.03714284],[ 0.2252813   0.6607638  -0.00073825],[ 0.21211436  0.59366196 -0.01517172],[ 0.2007063   0.55670404 -0.02676525],[ 0.1888832   0.53047037 -0.03406586]
