[2.95472443e-01 8.91275108e-01 3.99091419e-07],[ 0.37035114  0.8496722  -0.02290743],[ 0.4195841   0.76585639 -0.01986354],[ 0.44251224  0.68920285 -0.01704106],[ 0.45170683  0.63227755 -0.01361637],[0.35797241 0.65476209 0.02489026],[0.36464259 0.57322943 0.02512321],[0.36764723 0.52735555 0.01493758],[0.36958578 0.49196661 0.00495292],[0.31430587 0.6508401  0.02727472],[0.31220907 0.56992948 0.02265338],[0.31677172 0.53342336 0.00170227],[ 0.32045367  0.52575696 -0.01417617],[0.27294382 0.66223955 0.02422717],[0.26451397 0.58282864 0.01366882],[ 0.26458168  0.54606086 -0.0090192 ],[ 0.26647958  0.5398342  -0.02409389],[0.23061708 0.68927741 0.01845097],[0.21800318 0.61793691 0.00444571],[ 0.2124148   0.57723576 -0.01135709],[ 0.21358699  0.55698663 -0.02214426]
[2.93861687e-01 8.93612504e-01 3.93425182e-07],[ 0.36843565  0.85137308 -0.02406833],[ 0.42043176  0.76740491 -0.02292208],[ 0.44294626  0.69326174 -0.02191176],[ 0.45691663  0.63851881 -0.019632  ],[0.35703889 0.65250379 0.02177559],[0.36584416 0.57335562 0.02045031],[0.36847234 0.5274753  0.01115913],[0.37049517 0.49197173 0.0023802 ],[0.31582922 0.65059036 0.02450069],[0.31428498 0.56772804 0.01806103],[0.31766987 0.53357947 0.00079847],[ 0.32283151  0.52947605 -0.01105884],[0.27587187 0.66221893 0.02153565],[0.26669052 0.58042467 0.01023631],[ 0.26449746  0.54635119 -0.0072224 ],[ 0.26744246  0.53890616 -0.01792352],[0.23481372 0.68758506 0.01549285],[0.2199035  0.62007689 0.00210216],[ 0.21180177  0.58036196 -0.01046242],[ 0.21075067  0.55609381 -0.01841264]
[2.95536816e-01 8.94766092e-01 4.09103052e-07],[ 0.37001836  0.85329735 -0.02394098],[ 0.42130116  0.76835722 -0.0221269 ],[ 0.44298044  0.6922462  -0.02064819],[ 0.45858395  0.6372928  -0.01799612],[0.35765654 0.65095812 0.02595184],[0.36587203 0.57197505 0.02574107],[0.36845219 0.52675521 0.01604048],[0.37060839 0.49293819 0.00666939],[0.31558967 0.64925593 0.02887064],[0.31346953 0.56441307 0.02271476],[0.31714207 0.53019691 0.0034167 ],[ 0.32214418  0.52859616 -0.01017275],[0.27526429 0.66144967 0.02597183],[0.26627958 0.57787061 0.01468727],[ 0.26368824  0.54228306 -0.00595435],[ 0.26510468  0.53648031 -0.0190923 ],[0.23418272 0.6882776  0.02012204],[0.22131062 0.61879444 0.0062569 ],[ 0.21393192  0.58021051 -0.0083506 ],[ 0.21253422  0.55963212 -0.01803622]
[2.96598434e-01 8.93082976e-01 3.45105377e-07],[ 0.37070099  0.8523519  -0.02418619],[ 0.42264962  0.76670259 -0.02383335],[ 0.44519746  0.69078422 -0.02387276],[ 0.4619258   0.63759571 -0.02290612],[0.35924444 0.65062523 0.01911788],[0.36698988 0.5727725  0.01518409],[0.36939108 0.52816939 0.00443267],[ 0.37126142  0.49659872 -0.00493313],[0.31744096 0.64833999 0.02123096],[0.31550178 0.56283647 0.0104602 ],[ 0.31806356  0.53392881 -0.00893748],[ 0.3214834   0.53864533 -0.02100785],[0.27745205 0.65914363 0.01787259],[0.26841128 0.57557189 0.00354803],[ 0.26463786  0.54398447 -0.01578266],[ 0.26508886  0.54196203 -0.02689871],[0.23624921 0.68500549 0.01162776],[ 0.22144718  0.61755425 -0.00355893],[ 0.21326278  0.57978898 -0.01740964],[ 0.21099728  0.55930817 -0.02589825]
[2.97239900e-01 8.96903098e-01 3.70107699e-07],[ 0.37224251  0.8540051  -0.02250423],[ 0.42299163  0.767452   -0.02031696],[ 0.44567069  0.69216859 -0.01891596],[ 0.46142101  0.63944638 -0.01620037],[0.35941702 0.65083611 0.02614489],[0.36810204 0.57480067 0.02550781],[0.37105504 0.53130257 0.01626696],[0.373339   0.49859476 0.00747622],[0.31828916 0.64917016 0.02791747],[0.31682631 0.56627679 0.02104312],[0.31955534 0.53520942 0.00336713],[ 0.32306889  0.53609204 -0.00809403],[0.2785992  0.66116673 0.02391372],[0.26940963 0.57998884 0.01257821],[ 0.26599216  0.54730612 -0.0050637 ],[ 0.26706129  0.54160893 -0.01550919],[0.23818719 0.68767089 0.01688429],[0.22257504 0.62222499 0.00391058],[ 0.2141908   0.58266151 -0.00873519],[ 0.2126421   0.5577786  -0.01669994]
[2.99940020e-01 8.98369253e-01 3.43107160e-07],[ 0.37329236  0.85642588 -0.02389043],[ 0.42407608  0.77119178 -0.02375005],[ 0.44608775  0.69596547 -0.02402908],[ 0.46268368  0.6423741  -0.02314577],[0.36097017 0.65323412 0.01877867],[0.36975038 0.57551384 0.01403995],[0.3728798  0.53113461 0.00295671],[ 0.37540036  0.50162172 -0.00615222],[0.31881294 0.65058327 0.02078506],[0.3167156  0.56436163 0.01004279],[ 0.31935224  0.53544575 -0.00887752],[ 0.32329276  0.54125595 -0.02038382],[0.27884486 0.66218948 0.01733   ],[0.26986924 0.57732666 0.00290038],[ 0.26645708  0.54589587 -0.01599792],[ 0.26855093  0.54506969 -0.02656613],[0.23783296 0.68994617 0.01105979],[ 0.22292081  0.62241811 -0.00427744],[ 0.21494132  0.58318758 -0.01798637],[ 0.21388155  0.56212425 -0.02606698]
[2.98183620e-01 9.00288105e-01 3.66081764e-07],[ 0.37254995  0.85889769 -0.02357701],[ 0.42279899  0.77348691 -0.02196915],[ 0.44638681  0.69546324 -0.02104515],[ 0.46326524  0.64190853 -0.01862341],[0.36063632 0.65312117 0.02685239],[0.36933321 0.57605028 0.02676958],[0.37212774 0.53448594 0.01755345],[0.37343597 0.50390077 0.00880675],[0.31964082 0.65092057 0.02916861],[0.31888109 0.56605434 0.02234249],[0.32073432 0.5371393  0.00409247],[ 0.32254109  0.54146767 -0.00733877],[0.27968526 0.66264528 0.02567727],[0.27124757 0.58042705 0.01402356],[ 0.2675702   0.54914397 -0.00420504],[ 0.26729065  0.54604739 -0.01441542],[0.23836342 0.68923116 0.01916138],[0.22381657 0.62114435 0.00609757],[ 0.21451761  0.58354497 -0.00626423],[ 0.21108702  0.56306088 -0.01356473]
[3.00936043e-01 9.00289893e-01 3.21389820e-07],[ 0.3748529   0.85789573 -0.02517264],[ 0.42630988  0.77064764 -0.02577496],[ 0.44797423  0.69400275 -0.02663569],[ 0.46340299  0.64127141 -0.0264089 ],[0.36171529 0.65522128 0.01525583],[0.36799067 0.57813543 0.00793465],[ 0.37051946  0.53313839 -0.00469464],[ 0.37300605  0.50412613 -0.01468411],[0.31928045 0.65375936 0.01747781],[0.31693882 0.56677997 0.00373342],[ 0.31909975  0.53522509 -0.01691036],[ 0.32263127  0.53842622 -0.02972385],[0.27941549 0.66618276 0.01410263],[ 0.26986551  0.58135664 -0.00288589],[ 0.2649827   0.54859883 -0.02403053],[ 0.26542377  0.54731381 -0.03618653],[0.23906794 0.69450313 0.00794035],[ 0.22361122  0.62800533 -0.00920772],[ 0.21391916  0.58767825 -0.02492995],[ 0.210619    0.56486863 -0.0348044 ]
[3.02107573e-01 9.03459251e-01 3.48462549e-07],[ 0.37670359  0.8608731  -0.02439953],[ 0.4258754   0.77321106 -0.0231214 ],[ 0.44700897  0.6953423  -0.02226529],[ 0.46292064  0.64153141 -0.02018993],[0.36136043 0.65540224 0.02346058],[0.36776254 0.57989919 0.02091592],[0.3697668  0.53555894 0.00997453],[3.71019304e-01 5.04013896e-01 2.63878348e-04],[0.31949672 0.65365255 0.02617221],[0.31646991 0.567904   0.01661139],[ 0.31691736  0.53682065 -0.00365424],[ 0.31814277  0.54019535 -0.01658021],[0.27941409 0.66617268 0.0231759 ],[0.27031916 0.58145976 0.00954603],[ 0.26550424  0.54994208 -0.01116705],[ 0.26492283  0.54931408 -0.02328165],[0.23857951 0.69435143 0.01728022],[0.22352085 0.62722909 0.00256893],[ 0.21391997  0.58885884 -0.01207283],[ 0.21065369  0.56814373 -0.0212964 ]
[3.02602261e-01 9.06081498e-01 3.73911917e-07],[ 0.37555841  0.86075044 -0.02229541],[ 0.4254697   0.77393705 -0.02122625],[ 0.44918251  0.69674325 -0.02099968],[ 0.46624386  0.64196056 -0.01961105],[0.36104745 0.65541548 0.02617401],[0.36903772 0.58006495 0.02434187],[0.37114343 0.53870547 0.01353369],[0.37222487 0.50889039 0.00399099],[0.31833121 0.65317541 0.0278121 ],[0.31611601 0.56832403 0.02164933],[0.31634924 0.5364514  0.00372232],[ 0.31728417  0.53499949 -0.00811453],[0.27780539 0.66626823 0.02377271],[0.26797584 0.58470547 0.01391711],[ 0.26248553  0.5533995  -0.00240994],[ 0.26128212  0.5461868  -0.0122537 ],[0.23709974 0.69655234 0.01668436],[0.2221307  0.63130105 0.00572257],[ 0.21216947  0.59243482 -0.00474298],[ 0.20847464  0.56567824 -0.0111987 ]
[3.02504420e-01 9.08405364e-01 3.59572510e-07],[ 0.37612131  0.8646301  -0.02296471],[ 0.42600855  0.77537364 -0.02135376],[ 0.44913039  0.69759876 -0.02031178],[ 0.4645229   0.64375019 -0.01757487],[0.36111385 0.65607601 0.02356768],[0.36897868 0.58016193 0.02210571],[0.37161145 0.53853548 0.01286523],[0.37304375 0.50852901 0.00455108],[0.31871819 0.65441471 0.02557716],[0.31586659 0.57004869 0.01960102],[0.31719524 0.53709602 0.00372896],[ 0.31929725  0.5366174  -0.00659134],[0.27830887 0.66791862 0.02173847],[0.26802474 0.58462733 0.01003891],[ 0.26174963  0.55206883 -0.00697182],[ 0.26027447  0.54738188 -0.01670283],[0.23756978 0.69661146 0.01498854],[0.22202282 0.62992448 0.00148772],[ 0.21188992  0.59072596 -0.01084164],[ 0.20841046  0.56676191 -0.01818902]
[3.01230669e-01 9.09677088e-01 3.99478466e-07],[ 0.37593371  0.8655768  -0.02312745],[ 0.42642996  0.77717578 -0.02102097],[ 0.44964808  0.69823253 -0.01948386],[ 0.46506667  0.64285952 -0.01650577],[0.36103824 0.65815085 0.02853578],[0.36807123 0.58146864 0.02893134],[0.37007871 0.53956747 0.01938874],[0.37065083 0.50866407 0.01041882],[0.31824955 0.65575761 0.0310758 ],[0.31563047 0.56998587 0.0261948 ],[0.31588006 0.53777325 0.00858057],[ 0.31658152  0.53842902 -0.00305986],[0.27719733 0.66900814 0.02772666],[0.26642144 0.58405644 0.01810891],[0.26006466 0.5526498  0.00093051],[ 0.25808299  0.54892558 -0.00922937],[0.23604679 0.69865614 0.02132533],[0.2201982  0.62985498 0.01039099],[ 0.20985457  0.59135139 -0.00062932],[ 0.20623849  0.56832641 -0.00738512]
