[ 3.94744009e-01  7.07200646e-01 -9.89555318e-08],[ 0.45707577  0.6935668  -0.02534846],[ 0.51268756  0.64074081 -0.03266829],[ 0.54812706  0.58739382 -0.04072425],[ 0.57840055  0.55205381 -0.04749265],[0.47620758 0.52224201 0.00081624],[ 0.48891133  0.44345707 -0.02203704],[ 0.48215592  0.44293067 -0.04271811],[ 0.47212654  0.47515315 -0.05284219],[0.43690571 0.50969166 0.00300858],[ 0.44507012  0.42545    -0.02097076],[ 0.43862858  0.44174269 -0.04247097],[ 0.43377382  0.483583   -0.05229577],[3.98718417e-01 5.10032535e-01 5.13848427e-05],[ 0.40034458  0.4289186  -0.02012841],[ 0.398332    0.43981674 -0.03445197],[ 0.39711052  0.4793517  -0.03952213],[ 0.36033773  0.52125585 -0.00555867],[ 0.35515171  0.45611605 -0.01836183],[ 0.35736644  0.45075697 -0.02516344],[ 0.36274767  0.4687674  -0.02725884]
[3.96334231e-01 7.06708908e-01 3.11723589e-08],[ 0.45617834  0.69756401 -0.02760291],[ 0.51077819  0.64195335 -0.03747578],[ 0.54641491  0.58809167 -0.04757117],[ 0.57468915  0.54929811 -0.05612956],[ 0.4757733   0.52215785 -0.00456551],[ 0.48330981  0.43956417 -0.03071228],[ 0.48266304  0.43617404 -0.05395855],[ 0.47917262  0.4743759  -0.06483123],[ 0.43692148  0.50962222 -0.00166887],[ 0.44349465  0.42556244 -0.02756141],[ 0.44028673  0.43606395 -0.05252919],[ 0.43809128  0.47834307 -0.06491248],[ 0.39960414  0.51016164 -0.00392782],[ 0.39984635  0.43068421 -0.02558322],[ 0.39818072  0.43429145 -0.04400839],[ 0.39919022  0.47342238 -0.05214282],[ 0.36190403  0.52235901 -0.00878312],[ 0.35520446  0.46087676 -0.02324877],[ 0.35582238  0.45054099 -0.03322082],[ 0.36127812  0.46523678 -0.03768452]
[3.96145850e-01 7.05448866e-01 2.02969872e-08],[ 0.45607749  0.69713128 -0.02806948],[ 0.5098176   0.64257252 -0.03815156],[ 0.5449155   0.58779746 -0.04847955],[ 0.57248127  0.54795122 -0.05745465],[ 0.4740487   0.52379262 -0.00598626],[ 0.482512    0.44233954 -0.03195713],[ 0.48168057  0.43851674 -0.05492692],[ 0.47809449  0.47508755 -0.06589654],[ 0.43516508  0.51051205 -0.00315661],[ 0.44161251  0.42497939 -0.02922286],[ 0.43874189  0.43713328 -0.05490517],[ 0.43704331  0.47897768 -0.06815187],[ 0.39769325  0.51031053 -0.0053405 ],[ 0.39768147  0.42993969 -0.02740431],[ 0.39593768  0.43439341 -0.04740174],[ 0.39697573  0.47430634 -0.0567947 ],[ 0.36009812  0.52188474 -0.01003101],[ 0.35293463  0.4570742  -0.02465019],[ 0.35333711  0.44444251 -0.03580972],[ 0.35826829  0.45890376 -0.04153675]
[3.93517345e-01 7.03872919e-01 2.42948914e-08],[ 0.45444626  0.69648778 -0.02848717],[ 0.50901228  0.64107937 -0.03858013],[ 0.54526466  0.58710641 -0.04887305],[ 0.57337171  0.54869598 -0.05748046],[ 0.47363001  0.5216288  -0.00534592],[ 0.48247895  0.43995309 -0.03228228],[ 0.48138911  0.43648699 -0.05583247],[ 0.47654518  0.47451612 -0.06673947],[ 0.43462154  0.50844234 -0.00206932],[ 0.44041672  0.42362851 -0.02866405],[ 0.43700972  0.43526605 -0.05391879],[ 0.43454075  0.47790125 -0.06645028],[ 0.39756638  0.5087955  -0.00407925],[ 0.39731911  0.42789727 -0.0267409 ],[ 0.39520258  0.43299228 -0.04576597],[ 0.39601332  0.47415346 -0.05402838],[ 0.36039457  0.52135086 -0.00871167],[ 0.35391453  0.45946461 -0.02417598],[ 0.35358578  0.44787011 -0.03511725],[ 0.35785162  0.46256721 -0.04013985]
[3.93890738e-01 7.06519783e-01 2.40650344e-08],[ 0.45298254  0.69656193 -0.02573522],[ 0.50731653  0.64185691 -0.03492569],[ 0.54371297  0.58769852 -0.04456854],[ 0.57213974  0.54975533 -0.05256755],[ 0.4733091   0.52262402 -0.00227124],[ 0.48154449  0.44235504 -0.02713047],[ 0.48016655  0.43901381 -0.04913086],[ 0.47594583  0.47510326 -0.05926633],[4.34645206e-01 5.09194314e-01 2.22470364e-04],[ 0.44103217  0.42569026 -0.0240784 ],[ 0.43819118  0.43697017 -0.04680992],[ 0.43594     0.47890091 -0.05757264],[ 0.39745122  0.50929731 -0.00229321],[ 0.39784476  0.42915809 -0.0226244 ],[ 0.39646456  0.43444994 -0.03839146],[ 0.39699033  0.47351867 -0.0446157 ],[ 0.35966456  0.5211637  -0.0073254 ],[ 0.35372058  0.45942408 -0.02098707],[ 0.35479769  0.45137304 -0.02905669],[ 0.35961413  0.46818888 -0.03181061]
[3.93140674e-01 7.04117715e-01 2.85957817e-08],[ 0.45301691  0.69230604 -0.02465831],[ 0.50766295  0.63758099 -0.03366625],[ 0.54241711  0.58510792 -0.04337234],[ 0.56977224  0.54703707 -0.05166053],[ 0.47175306  0.52104849 -0.00230833],[ 0.47880438  0.44035828 -0.02755279],[ 0.47796851  0.4366073  -0.04993139],[ 0.47431615  0.47348788 -0.06016846],[ 0.43269864  0.50873029 -0.00061429],[ 0.43856397  0.42503285 -0.02481752],[ 0.43624383  0.43461335 -0.04781339],[ 0.43431467  0.47570938 -0.05883343],[ 0.39567554  0.50981075 -0.00381155],[ 0.39581215  0.43032992 -0.02375866],[ 0.39431876  0.43362036 -0.0395463 ],[ 0.39502525  0.47029805 -0.04594833],[ 0.35837781  0.5225991  -0.00944819],[ 0.35205615  0.46194902 -0.02221217],[ 0.35231522  0.45041215 -0.02994223],[ 0.35647509  0.46241489 -0.03272109]
[3.91765594e-01 7.03369498e-01 7.08705201e-08],[ 0.45251298  0.69498748 -0.03024826],[ 0.50748456  0.63963068 -0.04081023],[ 0.54303849  0.58560318 -0.05121793],[ 0.57038301  0.54549563 -0.06002384],[ 0.47023764  0.5201844  -0.00444651],[ 0.47848517  0.43973431 -0.03012857],[ 0.47881094  0.43442178 -0.05386807],[ 0.47571501  0.47165298 -0.06527705],[ 4.31371748e-01  5.08003294e-01 -1.12687587e-04],[ 0.43719095  0.42278439 -0.02493585],[ 0.43524686  0.43167797 -0.05099472],[ 0.43347716  0.4733313  -0.06478219],[ 0.39442232  0.50939202 -0.00116391],[ 0.39468187  0.4285906  -0.02321426],[ 0.39414743  0.43167523 -0.04383027],[ 0.39521334  0.4728708  -0.05363549],[ 0.35735071  0.52260935 -0.00490373],[ 0.3517732   0.46056911 -0.02102857],[ 0.35387769  0.45184037 -0.03299437],[ 0.35940662  0.4701843  -0.03885285]
[3.92364115e-01 7.03125834e-01 2.07777351e-08],[ 0.45218959  0.69289964 -0.02586626],[ 0.50704741  0.63855219 -0.03503789],[ 0.5421952   0.58582407 -0.04479953],[ 0.56813872  0.54704046 -0.05283423],[ 0.47127432  0.52015334 -0.00134956],[ 0.47942311  0.44089115 -0.02677711],[ 0.47833812  0.43920982 -0.04944337],[ 0.47468352  0.47731987 -0.05983045],[0.43258885 0.50779182 0.00096543],[ 0.43898445  0.42429459 -0.02409623],[ 0.43593839  0.43538731 -0.04812984],[ 0.43393463  0.47643879 -0.05965777],[ 0.39538556  0.50832957 -0.00184268],[ 0.3962169   0.42918086 -0.02312607],[ 0.3943758   0.43307126 -0.04045891],[ 0.39507836  0.47107047 -0.04752103],[ 0.35840607  0.52061242 -0.00712549],[ 0.35259542  0.45905325 -0.0211403 ],[ 0.35268593  0.44773263 -0.03018363],[ 0.356895    0.46092802 -0.03373998]
[3.93904179e-01 7.00419664e-01 3.61203156e-08],[ 0.45414752  0.69211692 -0.02842424],[ 0.50881338  0.63862979 -0.03894558],[ 0.54280055  0.5845986  -0.04949239],[ 0.56849575  0.54374301 -0.05856644],[ 0.47130877  0.52081859 -0.00755415],[ 0.47927663  0.43797797 -0.03407894],[ 0.47791544  0.43422472 -0.05695121],[ 0.473914    0.47100973 -0.06759376],[ 0.43247685  0.50844252 -0.0042908 ],[ 0.43856335  0.42320538 -0.03053316],[ 0.43594292  0.43306804 -0.05501866],[ 0.43395853  0.47370595 -0.06712232],[ 0.39547092  0.50929242 -0.00606887],[ 0.39515662  0.42821184 -0.02759978],[ 0.39392659  0.43103069 -0.04555367],[ 0.39505237  0.46838555 -0.05351519],[ 0.35851789  0.52226686 -0.01049758],[ 0.35153791  0.46074334 -0.02471559],[ 0.35180965  0.44745797 -0.03485579],[ 0.3562398   0.45870978 -0.03963209]
[3.93701553e-01 7.01495647e-01 4.64626666e-08],[ 0.45340094  0.69240576 -0.0268017 ],[ 0.50746393  0.63674891 -0.03599609],[ 0.54304916  0.58303058 -0.04556681],[ 0.57051373  0.54433995 -0.05338897],[ 0.4711484   0.51734334 -0.00276872],[ 0.47883111  0.43628031 -0.02786619],[ 0.47895867  0.43205586 -0.04994604],[ 0.47569138  0.47033864 -0.05978457],[4.32210594e-01 5.05262613e-01 3.51614406e-04],[ 0.43692055  0.42248809 -0.02326788],[ 0.43506667  0.43173838 -0.04587612],[ 0.43373591  0.47409666 -0.05678546],[ 0.39560208  0.50668651 -0.00181181],[ 0.39476365  0.42772231 -0.02218444],[ 0.39470163  0.43009439 -0.03915951],[ 0.39656568  0.4693566  -0.04625962],[ 0.35850403  0.51907468 -0.00656846],[ 0.35267386  0.45732254 -0.02101782],[ 0.35476786  0.44881415 -0.03050961],[ 0.36079806  0.4672623  -0.03418058]
