[2.33656853e-01 8.83794427e-01 1.16518379e-07],[ 0.29607034  0.88725406 -0.04746826],[ 0.35424951  0.82627571 -0.06216897],[ 0.40003872  0.76469225 -0.07174986],[ 0.4400624   0.72979861 -0.07971837],[ 0.33179045  0.68871874 -0.02743611],[ 0.35170698  0.60169721 -0.04095965],[ 0.36187685  0.54074359 -0.04757741],[ 0.3668431   0.49038607 -0.05347233],[ 0.28446367  0.66907519 -0.01617371],[ 0.27258527  0.60950381 -0.05551012],[ 0.25675026  0.67945212 -0.06765373],[ 0.25064513  0.73530716 -0.06432343],[ 0.23899546  0.66661572 -0.01011238],[ 0.22887534  0.60039508 -0.05009033],[ 0.22193944  0.66440785 -0.05403586],[ 0.22155015  0.71608055 -0.04389416],[ 0.19955644  0.67923009 -0.00783174],[ 0.19028315  0.60289663 -0.03555356],[ 0.17973906  0.56140566 -0.04511206],[ 0.17546257  0.51753902 -0.0456152 ]
[ 2.27647036e-01  9.00067151e-01 -4.97395511e-08],[ 0.29704615  0.89777172 -0.03683773],[ 0.35773903  0.83441305 -0.04791082],[ 0.40279898  0.76794553 -0.05690727],[ 0.44180435  0.73518717 -0.06381696],[ 0.33488211  0.69306374 -0.01311383],[ 0.35561296  0.60410428 -0.02750976],[ 0.36446476  0.54416531 -0.03486378],[ 0.36878246  0.49631998 -0.04038189],[ 0.28757179  0.6757856  -0.00725789],[ 0.27820727  0.61318088 -0.05092133],[ 0.25837684  0.68534255 -0.06542943],[ 0.24868281  0.74557203 -0.06134798],[ 0.24213487  0.67142296 -0.005961  ],[ 0.23135865  0.60358697 -0.04669473],[ 0.22413138  0.66081071 -0.04924208],[ 0.22369722  0.7109412  -0.03687552],[ 0.20241365  0.67882597 -0.00770009],[ 0.1918897   0.60414374 -0.03127867],[ 0.18214212  0.56620771 -0.03563049],[ 0.17876887  0.52577055 -0.03195672]
[ 2.29298025e-01  9.00290906e-01 -6.57989432e-08],[ 0.29537162  0.89448994 -0.03464317],[ 0.3573547   0.83584428 -0.04546891],[ 0.40156382  0.77549404 -0.05490927],[ 0.43726608  0.74071801 -0.06235369],[ 0.33571205  0.69125998 -0.01172794],[ 0.35809752  0.60377312 -0.02649322],[ 0.36569092  0.54615337 -0.0354249 ],[ 0.36996281  0.49759263 -0.04219905],[ 0.28931457  0.67278421 -0.00743969],[ 0.28353235  0.61308646 -0.05201771],[ 0.26238111  0.68163419 -0.07032482],[ 0.24920976  0.74195379 -0.06938511],[ 0.24339566  0.66840553 -0.00709986],[ 0.23488116  0.5996325  -0.04687354],[ 0.22594     0.65339857 -0.05236482],[ 0.22315431  0.70421177 -0.04303232],[ 0.20196816  0.67618829 -0.00950893],[ 0.19074994  0.60387737 -0.03174334],[ 0.18249111  0.56678414 -0.0367438 ],[ 0.1810284   0.52842218 -0.03417187]
[ 2.30758488e-01  9.03731287e-01 -4.63745202e-08],[ 0.29612571  0.89633799 -0.03734444],[ 0.35698822  0.83539462 -0.04873004],[ 0.39873359  0.77333367 -0.05831821],[ 0.43459332  0.73917568 -0.06581856],[ 0.33626807  0.69044846 -0.01123772],[ 0.35817596  0.60305607 -0.0258279 ],[ 0.3652994   0.54441297 -0.03560149],[ 0.36915922  0.49482304 -0.04342302],[ 0.28876486  0.67227131 -0.00635102],[ 0.28166807  0.60470939 -0.05160861],[ 0.26043022  0.67269254 -0.07242199],[ 0.24781676  0.73332399 -0.07315209],[ 0.24205141  0.6682235  -0.00564896],[ 0.23179226  0.59876406 -0.04628437],[ 0.22375946  0.65205938 -0.05485244],[ 0.22162372  0.70278966 -0.04741954],[ 0.20069453  0.6772877  -0.00784857],[ 0.18843716  0.60238236 -0.02999915],[ 0.18002403  0.56495166 -0.03643014],[ 0.17772897  0.52677774 -0.03526613]
[ 2.32343912e-01  9.09047246e-01 -6.86958757e-08],[ 0.29652688  0.90120661 -0.03663015],[ 0.35739088  0.83538872 -0.04792843],[ 0.40114081  0.77134466 -0.05720558],[ 0.43741542  0.73673111 -0.0643468 ],[ 0.33486384  0.69461226 -0.01461312],[ 0.35662577  0.60478342 -0.02987877],[ 0.36433673  0.54621339 -0.03920308],[ 0.36946446  0.49778366 -0.04650049],[ 0.28800121  0.67660391 -0.0100147 ],[ 0.28365287  0.60925555 -0.05524004],[ 0.26180154  0.67167383 -0.07477797],[ 0.2470669   0.73076314 -0.07499497],[ 0.24217716  0.67235339 -0.00954223],[ 0.2326923   0.60197973 -0.04926406],[ 0.22526759  0.6505394  -0.05741976],[ 0.22294787  0.69909209 -0.05051051],[ 0.20113868  0.68108797 -0.01200445],[ 0.18953192  0.60738271 -0.03404899],[ 0.1817939   0.56822622 -0.0412775 ],[ 0.18034905  0.52934718 -0.0411872 ]
[ 2.3024182e-01  9.0822804e-01 -5.0367710e-08],[ 0.29564494  0.90059733 -0.03721731],[ 0.35614777  0.839854   -0.04864368],[ 0.39869767  0.7791875  -0.05835869],[ 0.43665081  0.74346107 -0.06615189],[ 0.33357048  0.69493484 -0.01207644],[ 0.356365    0.60793006 -0.02740798],[ 0.36397666  0.55119091 -0.03785921],[ 0.36924499  0.50330901 -0.04601895],[ 0.28751528  0.67745721 -0.00768068],[ 0.28165039  0.60964072 -0.05271656],[ 0.25945461  0.66800892 -0.07482237],[ 0.24512729  0.72486317 -0.07711504],[ 0.24153408  0.67417175 -0.00754056],[ 0.23059398  0.60495633 -0.04814239],[ 0.22140926  0.650765   -0.0595727 ],[ 0.21859726  0.69754475 -0.05468979],[ 0.20055398  0.68356133 -0.01023446],[ 0.18840212  0.61010176 -0.03289462],[ 0.17977712  0.57023394 -0.0414476 ],[ 0.17740116  0.5315696  -0.04224051]
[ 2.32641995e-01  9.16598856e-01 -2.45765026e-08],[ 0.29614484  0.90937495 -0.04016696],[ 0.35641554  0.84687853 -0.05360775],[ 0.39953709  0.78548419 -0.0648111 ],[ 0.43670154  0.74923843 -0.07386121],[ 0.33456066  0.69965768 -0.01445939],[ 0.35576022  0.60966176 -0.02976787],[ 0.36285549  0.55205238 -0.04017092],[ 0.36877468  0.50464368 -0.04862032],[ 0.28856885  0.68366337 -0.00910967],[ 0.28289467  0.60698992 -0.05293699],[ 0.25905818  0.66347462 -0.07428548],[ 0.24622713  0.7193433  -0.0765747 ],[ 0.24320361  0.68111366 -0.00832447],[ 0.23417848  0.60299671 -0.04825215],[ 0.22188887  0.64851028 -0.05926932],[ 0.21821389  0.69508827 -0.05471881],[ 0.20278643  0.69186628 -0.01072259],[ 0.18960848  0.61702043 -0.03389645],[ 0.17896554  0.57485271 -0.04353612],[ 0.17592593  0.53422016 -0.0456149 ]
[2.30038598e-01 9.18176770e-01 8.05036870e-10],[ 0.2956779  0.910851  -0.0409277],[ 0.35662112  0.84919268 -0.05394958],[ 0.39824912  0.78557777 -0.06446644],[ 0.43636486  0.74839163 -0.07331012],[ 0.33412105  0.70323467 -0.01428516],[ 0.35739934  0.61368829 -0.02955111],[ 0.36520067  0.55661643 -0.04119423],[ 0.37067717  0.50930452 -0.05052915],[ 0.28753138  0.68557876 -0.00804023],[ 0.28454944  0.60361141 -0.05138898],[ 0.2612046   0.65250248 -0.07573286],[ 0.24572729  0.70760441 -0.08060743],[ 0.24128109  0.68147069 -0.00627032],[ 0.23384577  0.60322219 -0.04602507],[ 0.2218904   0.64353508 -0.06150315],[ 0.216811    0.68955708 -0.06032709],[ 0.19997862  0.69092017 -0.00746529],[ 0.18940841  0.61544269 -0.03013586],[ 0.17944109  0.57405096 -0.04160929],[ 0.17510191  0.53777945 -0.04544999]
[2.29945108e-01 9.12546277e-01 3.07156398e-08],[ 0.29234165  0.90723705 -0.04122251],[ 0.35518274  0.84945214 -0.05556911],[ 0.39894176  0.79037642 -0.06765008],[ 0.43676466  0.75156879 -0.07862384],[ 0.33260339  0.70352614 -0.01738923],[ 0.3572827   0.61360085 -0.03438313],[ 0.36549658  0.55595803 -0.04747999],[ 0.37164551  0.50883305 -0.05757502],[ 0.28603598  0.6867882  -0.01193379],[ 0.28543702  0.60149091 -0.05634987],[ 0.2584089   0.64190221 -0.08365254],[ 0.23984253  0.69259363 -0.09083204],[ 0.24003637  0.68181354 -0.01068098],[ 0.23593009  0.60132337 -0.05033408],[ 0.21924323  0.63176668 -0.06931482],[ 0.2105585   0.67165381 -0.07119668],[ 0.1985435   0.69055068 -0.01226389],[ 0.18863699  0.61584795 -0.03466316],[ 0.17817646  0.57338178 -0.04759241],[ 0.17379576  0.5371207  -0.05288909]
[2.29037240e-01 9.17054892e-01 4.75501025e-08],[ 0.29154879  0.91059107 -0.04313163],[ 0.35286984  0.85271752 -0.05801497],[ 0.39645803  0.79427516 -0.07023644],[ 0.43378621  0.755615   -0.08117592],[ 0.33199507  0.70475698 -0.01779263],[ 0.35684359  0.61634576 -0.03560572],[ 0.36567357  0.5589354  -0.050014  ],[ 0.37246972  0.51112664 -0.06108133],[ 0.28590775  0.68647051 -0.01145192],[ 0.28609797  0.60218525 -0.05578876],[ 0.25740817  0.64074469 -0.08391433],[ 0.23834984  0.68889356 -0.09186219],[ 0.23941885  0.68059927 -0.00962062],[ 0.23663309  0.60151273 -0.04960494],[ 0.21796024  0.63124728 -0.06958467],[ 0.20810673  0.67047334 -0.07203329],[ 0.19761358  0.68943429 -0.0107956 ],[ 0.1876176   0.61443603 -0.03355853],[ 0.17574508  0.57324821 -0.04687075],[ 0.17038015  0.5396049  -0.05226528]
