[2.70268798e-01 8.76984239e-01 5.83396968e-07],[ 0.33768699  0.85001588 -0.03736298],[ 0.39258629  0.77731812 -0.04793465],[ 0.43329591  0.71392202 -0.05873565],[ 0.46897084  0.66927636 -0.06882004],[ 0.35228741  0.63464749 -0.01489963],[ 0.37956375  0.538342   -0.03489424],[ 0.3942503   0.48115355 -0.04966502],[ 0.40491158  0.42949405 -0.06074104],[ 0.30238402  0.61905068 -0.01547611],[ 0.30537334  0.51159412 -0.04223127],[ 0.30736089  0.44254631 -0.06120122],[ 0.30530319  0.38264957 -0.07201774],[ 0.25508127  0.63605893 -0.02159269],[ 0.23654602  0.54182619 -0.06887905],[ 0.24210465  0.60702884 -0.07994081],[ 0.2490404   0.66604882 -0.07472828],[ 0.20993292  0.67430937 -0.03031882],[ 0.19249502  0.61623418 -0.07609568],[ 0.19972154  0.65486652 -0.08498221],[ 0.21118505  0.69951904 -0.08126667]
[2.91532665e-01 8.17503691e-01 8.06337653e-07],[ 0.35656434  0.78720772 -0.0356679 ],[ 0.41240644  0.71693355 -0.05009625],[ 0.45220006  0.6527735  -0.06463451],[ 0.48938912  0.60615003 -0.07812669],[ 0.37276322  0.58604527 -0.01893342],[ 0.39988634  0.48503399 -0.0413567 ],[ 0.41851914  0.42725897 -0.05504068],[ 0.43224436  0.37908649 -0.06299923],[ 0.32579589  0.5707795  -0.01841156],[ 0.33135632  0.45338899 -0.0448266 ],[ 0.33461973  0.38829216 -0.05864883],[ 0.3362585   0.33107838 -0.06417044],[ 0.28067046  0.58359796 -0.02289533],[ 0.26606664  0.47788799 -0.06747635],[ 0.26968592  0.54057503 -0.07179771],[ 0.2762742   0.59683955 -0.06130328],[ 0.2359709   0.61631924 -0.02985107],[ 0.21595335  0.55232614 -0.07079692],[ 0.22270079  0.5864023  -0.07416988],[ 0.23270637  0.62369072 -0.06597193]
[2.94675052e-01 8.02908599e-01 7.15902900e-07],[ 0.35918275  0.77827269 -0.03984872],[ 0.41775844  0.70675987 -0.05589719],[ 0.45519003  0.63888514 -0.07111598],[ 0.48887843  0.59029847 -0.08472313],[ 0.37888065  0.57410234 -0.02494115],[ 0.406075    0.47469506 -0.04612911],[ 0.42234576  0.41816115 -0.05845795],[ 0.43406653  0.37228897 -0.06580949],[ 0.33272624  0.55923051 -0.02252008],[ 0.34068236  0.44487482 -0.04727149],[ 0.34275448  0.37785113 -0.06012027],[ 0.34284508  0.32111675 -0.06578173],[ 0.28850985  0.57127893 -0.02535281],[ 0.27708727  0.46643054 -0.06685107],[ 0.27765158  0.51962459 -0.07267607],[ 0.2814706   0.57337487 -0.06479711],[ 0.24449548  0.60041076 -0.0311564 ],[ 0.22831482  0.53555167 -0.06971066],[ 0.23288026  0.56363183 -0.07497186],[ 0.24049728  0.60103923 -0.06945693]
[3.00594985e-01 7.92008042e-01 6.85757698e-07],[ 0.36612394  0.76921791 -0.03700909],[ 0.42344809  0.69551009 -0.0492638 ],[ 0.46115029  0.6271987  -0.06073895],[ 0.49333775  0.57904124 -0.07064696],[ 0.38460258  0.56207347 -0.01882576],[ 0.41099459  0.46518141 -0.03773852],[ 0.4271099   0.41028166 -0.04933704],[ 0.43864569  0.36567801 -0.05653252],[ 0.33825254  0.54629368 -0.01675716],[ 0.3456209   0.43355829 -0.04038952],[ 0.34703085  0.36754239 -0.0535903 ],[ 0.34647244  0.31333095 -0.05947959],[ 0.29448989  0.55838364 -0.01983511],[ 0.28151977  0.45774624 -0.0608045 ],[ 0.28138357  0.5135175  -0.06683189],[ 0.28536224  0.56689525 -0.05898029],[ 0.25071675  0.58828479 -0.02565468],[ 0.23378357  0.52506971 -0.06432766],[ 0.23855984  0.5567807  -0.06968707],[ 0.24797842  0.59466809 -0.06416312]
[3.09376717e-01 7.85035968e-01 6.16036118e-07],[ 0.37227091  0.76050353 -0.03641041],[ 0.42869768  0.68703741 -0.04841562],[ 0.46660811  0.619932   -0.05904994],[ 0.50008523  0.57371718 -0.06837951],[ 0.39142379  0.55684841 -0.02320586],[ 0.41796106  0.46261993 -0.04250598],[ 0.43302929  0.40890014 -0.05477716],[ 0.44326657  0.36427456 -0.06262828],[ 0.34563071  0.54192567 -0.02085386],[ 0.35302982  0.43033537 -0.04336781],[ 0.35386032  0.36574686 -0.05707734],[ 0.35255545  0.31326953 -0.06408317],[ 0.30240816  0.55549926 -0.02308855],[ 0.28887999  0.46020225 -0.05968183],[ 0.28879863  0.50495088 -0.06694182],[ 0.29299295  0.55117625 -0.06182061],[ 0.26031828  0.58678472 -0.02819968],[ 0.24287675  0.52947009 -0.06149383],[ 0.24503836  0.54891735 -0.0672632 ],[ 0.25168753  0.57548797 -0.06373772]
[3.17227453e-01 7.76496947e-01 5.78113372e-07],[ 0.37905106  0.75186056 -0.03463982],[ 0.43444711  0.68345165 -0.04763461],[ 0.47174186  0.61714405 -0.05950702],[ 0.50225663  0.57213742 -0.07031614],[ 0.3966701   0.55358464 -0.02600531],[ 0.42438436  0.46015972 -0.04521106],[ 0.43883106  0.40707433 -0.05732425],[ 0.44787133  0.36406195 -0.0653431 ],[ 0.35195768  0.53786165 -0.02416899],[ 0.36058599  0.42825091 -0.04509613],[ 0.3609075   0.36660308 -0.05777207],[ 0.35894233  0.31616741 -0.06492678],[ 0.31019673  0.55007792 -0.02644553],[ 0.29823354  0.45175737 -0.05651343],[ 0.29472741  0.47764322 -0.06306095],[ 0.29521671  0.50990468 -0.06066193],[ 0.26974782  0.58252156 -0.03189036],[ 0.25032729  0.52913582 -0.06008939],[ 0.24566802  0.53095645 -0.06665397],[ 0.24524274  0.54148686 -0.06566827]
[3.20038527e-01 7.73331702e-01 5.91518130e-07],[ 0.38205233  0.7483272  -0.03439615],[ 0.43617284  0.6849398  -0.04938177],[ 0.47539055  0.61889362 -0.063848  ],[ 0.50374067  0.57224053 -0.07706369],[ 0.39962387  0.55340677 -0.02450174],[ 0.42860866  0.46229419 -0.04266866],[ 0.44389695  0.40724519 -0.05319957],[ 0.45316049  0.36574465 -0.05991171],[ 0.35631722  0.53563726 -0.02220225],[ 0.3657001   0.43013638 -0.04096214],[ 0.36724171  0.37153271 -0.04992583],[ 0.36776385  0.31902596 -0.05508615],[ 0.3160879   0.54263109 -0.02434405],[ 0.30676553  0.44170088 -0.05131878],[ 0.30311158  0.47212985 -0.05394975],[ 0.3022849   0.50967634 -0.04979569],[ 0.27476907  0.5686639  -0.03000965],[ 0.25669897  0.50672424 -0.05578929],[ 0.25270838  0.51133204 -0.0605345 ],[ 0.25227287  0.52999252 -0.05866991]
[3.26930046e-01 7.74996400e-01 5.87249531e-07],[ 0.3883006   0.749111   -0.03498712],[ 0.44413823  0.68765736 -0.04840453],[ 0.48120713  0.62503463 -0.06055588],[ 0.51063365  0.57647651 -0.07164405],[ 0.40703362  0.55107665 -0.02074028],[ 0.43658277  0.46597403 -0.03739368],[ 0.45046285  0.41211656 -0.05039177],[ 0.46028876  0.36918283 -0.05979493],[ 0.36440909  0.53464639 -0.01820112],[ 0.37182418  0.43370685 -0.03449442],[ 0.37429351  0.3683334  -0.04853589],[ 0.37499294  0.3212167  -0.05860297],[ 0.32398424  0.5444333  -0.02039458],[ 0.31501073  0.45439869 -0.04506099],[ 0.31169873  0.44790772 -0.05760004],[ 0.31002587  0.45884657 -0.06235705],[ 0.28422469  0.57200789 -0.02586238],[ 0.26630631  0.51218516 -0.05147821],[ 0.26256323  0.50608265 -0.06136139],[ 0.26176953  0.51530164 -0.06433302]
[3.34234685e-01 7.72893727e-01 5.33946888e-07],[ 0.3938235   0.74890763 -0.03476836],[ 0.44793558  0.68776071 -0.04814852],[ 0.48201916  0.62578118 -0.05978521],[ 0.51244557  0.58113843 -0.07042221],[ 0.41390482  0.55332279 -0.02262806],[ 0.44237578  0.46920535 -0.03956495],[ 0.45577973  0.41658041 -0.05283342],[ 0.46538287  0.37494159 -0.06215025],[ 0.37225682  0.53759974 -0.02007142],[ 0.378187    0.43649241 -0.03582926],[ 0.38020322  0.3712424  -0.05010541],[ 0.37917161  0.32794982 -0.06007219],[ 0.33317137  0.54762185 -0.02210368],[ 0.32672521  0.46211162 -0.04418207],[ 0.31952804  0.43477479 -0.05862745],[ 0.31263554  0.42550659 -0.06569598],[ 0.29430765  0.57555342 -0.02726863],[ 0.27629986  0.51691496 -0.05039431],[ 0.26664534  0.49725288 -0.06119555],[ 0.25861049  0.48968196 -0.0655294 ]
[3.38762224e-01 7.73721278e-01 5.08360472e-07],[ 0.39930272  0.7481389  -0.03110737],[ 0.45329529  0.68822765 -0.04302445],[ 0.48770693  0.62846279 -0.05355463],[ 0.51661992  0.58381379 -0.06340414],[ 0.41825581  0.55693632 -0.02008534],[ 0.44612175  0.47245735 -0.03633292],[ 0.45979238  0.42133856 -0.04996705],[ 0.47009262  0.37904173 -0.05955842],[ 0.37741315  0.54266423 -0.01872111],[ 0.38469726  0.44322091 -0.03276519],[ 0.38722697  0.37953478 -0.0469529 ],[ 0.38636455  0.33499098 -0.05725234],[ 0.33876544  0.55272597 -0.02149855],[ 0.33371174  0.47341251 -0.03888573],[ 0.32636359  0.44128513 -0.05161319],[ 0.31908286  0.421965   -0.05905044],[ 0.30055237  0.58046269 -0.02743445],[ 0.28365865  0.52655172 -0.04458629],[ 0.27365595  0.50509781 -0.05208382],[ 0.26482409  0.49127102 -0.05537603]
