[3.58875126e-01 7.41697073e-01 5.43224871e-07],[ 0.42868465  0.72350943 -0.02773289],[ 0.48522949  0.67058975 -0.03910046],[ 0.52705479  0.61535215 -0.04980779],[ 0.56351608  0.57752103 -0.05965363],[ 0.44221628  0.54521781 -0.00383366],[ 0.47418505  0.48512116 -0.01465936],[ 0.49844629  0.44176713 -0.02471721],[ 0.51610869  0.41171688 -0.03198369],[ 0.40375546  0.51818419 -0.00366706],[ 0.42186934  0.42668745 -0.00979603],[ 0.43407744  0.37410194 -0.01548044],[ 0.44358239  0.32966807 -0.01921772],[ 0.36585623  0.5123865  -0.00914083],[ 0.37039575  0.41984507 -0.02156091],[ 0.37420261  0.36232796 -0.03149394],[ 0.37719142  0.31464484 -0.0376095 ],[ 0.32725215  0.52787578 -0.01772062],[ 0.31046388  0.45549828 -0.03332347],[ 0.30109513  0.40628505 -0.04121957],[ 0.29515526  0.3613171  -0.04528604]
[3.60823363e-01 7.42178679e-01 5.09725737e-07],[ 0.42851266  0.71886545 -0.02576852],[ 0.4866958   0.66572297 -0.03725906],[ 0.52519745  0.60839897 -0.04858221],[ 0.5612703   0.56896722 -0.05896349],[ 0.43926963  0.54318875 -0.00273712],[ 0.47128099  0.48291722 -0.01631167],[ 0.49497122  0.44094017 -0.02872987],[ 0.51307136  0.41093054 -0.03709222],[ 0.40217182  0.5192073  -0.00326035],[ 0.42124104  0.42972526 -0.01125768],[ 0.43400818  0.37915206 -0.01766474],[ 0.44453931  0.33604899 -0.02207113],[ 0.36620185  0.51314849 -0.00961161],[ 0.37041941  0.42288157 -0.02219302],[ 0.37537065  0.36617464 -0.03100205],[ 0.3803688   0.31866217 -0.0365885 ],[ 0.32912475  0.52616924 -0.01917552],[ 0.31350711  0.45508039 -0.03356874],[ 0.30454537  0.40770093 -0.04004767],[ 0.29859143  0.36372465 -0.04350686]
[3.61708701e-01 7.40375698e-01 4.99527459e-07],[ 0.42847741  0.7110312  -0.0213113 ],[ 0.48484474  0.65741396 -0.03076972],[ 0.52226812  0.60127473 -0.04094614],[ 0.55675095  0.56291687 -0.05040422],[0.43702215 0.5416522  0.00374516],[ 0.46690902  0.48351559 -0.0080251 ],[ 0.48951706  0.44371143 -0.01991438],[ 0.50692987  0.41487044 -0.02796242],[0.39985958 0.5195117  0.00156593],[ 0.4185566   0.43259862 -0.0047063 ],[ 0.43096301  0.38382363 -0.01085956],[ 0.44152632  0.34114486 -0.0151523 ],[ 0.3636665   0.51467758 -0.00622312],[ 0.36715603  0.42636055 -0.01720097],[ 0.37267989  0.37110841 -0.02515899],[ 0.37878871  0.32455072 -0.03021558],[ 0.3258884   0.52779514 -0.01691968],[ 0.31142366  0.45623168 -0.02946063],[ 0.30430156  0.40876159 -0.03452626],[ 0.30067807  0.36445063 -0.03711562]
[3.62474412e-01 7.35890269e-01 4.93603068e-07],[ 0.42873549  0.7052874  -0.02053021],[ 0.48388499  0.65376961 -0.02919079],[ 0.52039301  0.59874475 -0.0386365 ],[ 0.55127519  0.55690813 -0.04734094],[0.43427929 0.54311997 0.0059223 ],[ 0.46416914  0.48670352 -0.00547738],[ 0.48687232  0.44703168 -0.01750173],[ 0.50433433  0.41819346 -0.02547003],[0.39800835 0.52081424 0.00399525],[ 0.41600311  0.43661135 -0.00145404],[ 0.42802611  0.38963151 -0.00752037],[ 0.43840322  0.34851602 -0.01195594],[ 0.36217955  0.51473874 -0.00355392],[ 0.36623725  0.42848286 -0.01340888],[ 0.37202108  0.37484467 -0.02059913],[ 0.37842423  0.33043414 -0.02528686],[ 0.32490611  0.52573937 -0.01403557],[ 0.31058747  0.45546004 -0.02525181],[ 0.30383283  0.40797439 -0.02931815],[ 0.30027863  0.36501336 -0.03128219]
[3.62238407e-01 7.34245658e-01 5.34140838e-07],[ 0.42878425  0.70436358 -0.02188067],[ 0.48396254  0.65425283 -0.03141494],[ 0.52036864  0.59894449 -0.04151732],[ 0.55130148  0.55631047 -0.05092806],[0.433285   0.54368299 0.00535506],[ 0.46257344  0.48749775 -0.00616722],[ 0.48541701  0.44765925 -0.01820192],[ 0.50322449  0.41904676 -0.02607423],[0.39753166 0.52122349 0.00394725],[ 0.41581893  0.43718991 -0.00166763],[ 0.42775437  0.38912243 -0.00820786],[ 0.43792215  0.34621119 -0.01279947],[ 0.36182222  0.51474452 -0.00322099],[ 0.3662852   0.42783913 -0.01353645],[ 0.37110117  0.37353837 -0.02184153],[ 0.37638602  0.32846028 -0.02707534],[ 0.32386684  0.52504367 -0.01332581],[ 0.31014442  0.45461503 -0.02471006],[ 0.30418104  0.40725559 -0.02951217],[ 0.30136958  0.36419478 -0.03195648]
[3.65622878e-01 7.29460001e-01 4.99370856e-07],[ 0.43067357  0.70020902 -0.02159305],[ 0.48422086  0.64883524 -0.03058773],[ 0.51956987  0.59439278 -0.03984251],[ 0.54746103  0.5517531  -0.04829545],[0.43283871 0.54342258 0.0018605 ],[ 0.46213743  0.48702931 -0.01056694],[ 0.48477191  0.44736224 -0.02226869],[ 0.50246114  0.4204196  -0.02962469],[0.39679319 0.52168673 0.00093785],[ 0.41382518  0.43860748 -0.0057369 ],[ 0.42537579  0.39216322 -0.01185931],[ 0.43557686  0.35226291 -0.01599275],[ 0.36186987  0.51525366 -0.00535818],[ 0.36470029  0.42955148 -0.01573963],[ 0.36915985  0.37783512 -0.02273213],[ 0.37469667  0.33529526 -0.02708339],[ 0.3262192   0.525401   -0.01456871],[ 0.31202301  0.45692909 -0.02591721],[ 0.30512944  0.41027766 -0.03021026],[ 0.30161366  0.3680273  -0.03219372]
[3.67445290e-01 7.24358976e-01 4.91656522e-07],[ 0.43246415  0.69475156 -0.0206615 ],[ 0.48404008  0.64500928 -0.02867086],[ 0.51805162  0.58896869 -0.03707326],[ 0.54561353  0.54576951 -0.04478501],[0.43308061 0.54387343 0.00551294],[ 0.4610253   0.49014753 -0.00547265],[ 0.4830755   0.45251086 -0.01659417],[ 0.50043762  0.42646083 -0.02366489],[0.39721292 0.5226056  0.0047986 ],[ 4.12703127e-01  4.42718387e-01 -8.94952973e-05],[ 0.42410877  0.39804429 -0.00534259],[ 0.43436828  0.3578729  -0.00905671],[ 0.36249447  0.51688123 -0.00149062],[ 0.36467153  0.43424988 -0.01095553],[ 0.3689979   0.38218135 -0.01778816],[ 0.37436736  0.33866036 -0.02202674],[ 0.32653147  0.52713788 -0.01065176],[ 0.31341261  0.4601247  -0.0213875 ],[ 0.30755901  0.41411829 -0.02563527],[ 0.30515867  0.37197542 -0.02766341]
[3.68923515e-01 7.17639029e-01 4.72503984e-07],[ 0.43301228  0.68790698 -0.01962485],[ 0.48334742  0.64037347 -0.02814745],[ 0.51659     0.58621186 -0.03724293],[ 0.54278016  0.54340661 -0.0459089 ],[0.43307078 0.54768586 0.00287354],[ 0.46103701  0.49448502 -0.00940752],[ 0.482476    0.45566455 -0.02068677],[ 0.49914697  0.42904294 -0.02769397],[0.39841694 0.52601498 0.00150294],[ 0.4143647   0.44639182 -0.00505689],[ 0.42565504  0.40176105 -0.01062561],[ 0.43598104  0.36256841 -0.01443381],[ 0.36434692  0.5188942  -0.0050754 ],[ 0.36719862  0.43691781 -0.01557522],[ 0.37161958  0.38558382 -0.02220163],[ 0.37741023  0.34359139 -0.02629161],[ 0.32894659  0.52739817 -0.01430856],[ 0.31578952  0.46214667 -0.02536228],[ 0.31053132  0.41677797 -0.02942309],[ 0.30880678  0.37579292 -0.0314084 ]
[3.67231429e-01 7.10415363e-01 4.54728934e-07],[ 0.43191293  0.68196428 -0.02025056],[ 0.48245335  0.63560385 -0.0283786 ],[ 0.51439184  0.58224314 -0.03680241],[ 0.53986478  0.54013413 -0.04491711],[0.43554205 0.54890519 0.00170441],[ 0.46292487  0.49641109 -0.01068872],[ 0.48318458  0.45809826 -0.02195797],[ 0.49870065  0.43138561 -0.02901469],[0.40013784 0.52723783 0.00113302],[ 0.41566029  0.45042211 -0.0059173 ],[ 0.42627275  0.40646625 -0.01209044],[ 0.43615371  0.36807072 -0.01642836],[ 0.36538166  0.51926786 -0.00458003],[ 0.36783352  0.43989211 -0.01525485],[ 0.37175301  0.39022306 -0.02227226],[ 0.37746507  0.34957534 -0.02664834],[ 0.32955176  0.5261023  -0.01297584],[ 0.31796581  0.46221    -0.02400749],[ 0.31257823  0.41789582 -0.02840481],[ 0.31050691  0.37776533 -0.0306905 ]
[3.70515376e-01 7.03479648e-01 4.56498100e-07],[ 0.43389192  0.67542297 -0.02199474],[ 0.48442662  0.62979662 -0.03079998],[ 0.51555455  0.57749599 -0.03925242],[ 0.53922033  0.53509939 -0.04726141],[ 0.43487796  0.55145228 -0.00261245],[ 0.46324065  0.50032222 -0.01540726],[ 0.48377639  0.4628529  -0.02656818],[ 0.49943012  0.43652692 -0.0335375 ],[ 0.4002597   0.52966857 -0.00218771],[ 0.41592222  0.45332214 -0.00982692],[ 0.4264676   0.40962654 -0.01609564],[ 0.43631032  0.37236148 -0.02059832],[ 0.36642379  0.52018952 -0.00669885],[ 0.36889967  0.44252452 -0.01740814],[ 0.37349352  0.39439189 -0.02382491],[ 0.37991869  0.35548782 -0.02790267],[ 0.33184701  0.52525449 -0.01399981],[ 0.32001519  0.46280146 -0.02468691],[ 0.31523484  0.42011851 -0.0286518 ],[ 0.31397235  0.38213384 -0.03075356]
